         TOKENS       LEXEMES
------------------------------------------
        KEYWORD      class
     IDENTIFIER      Shape
         LBRACE      {
        COMMENT      #this is a comment#
        KEYWORD      def
     IDENTIFIER      Area
         LPAREN      (
         RPAREN      )
      SEMICOLON      ;
        COMMENT      #this is comment 1#
         RBRACE      }
        COMMENT      #this is a comment 2#
        KEYWORD      for
     IDENTIFIER      a
        KEYWORD      in
     IDENTIFIER      b
         LBRACE      {
        KEYWORD      write
         LPAREN      (
     IDENTIFIER      a
         RPAREN      )
      SEMICOLON      ;
        KEYWORD      int
     IDENTIFIER      c
         ASSIGN      =
     IDENTIFIER      d
      SEMICOLON      ;
      DATA_TYPE      STRING
     IDENTIFIER      e
         ASSIGN      =
        STR_LIT      "hello"
           PLUS      +
        STR_LIT      'world'
      SEMICOLON      ;
     IDENTIFIER      intIdentifier
         ASSIGN      =
     IDENTIFIER      a
      SEMICOLON      ;
        INT_LIT      1
     IDENTIFIER      abc
         ASSIGN      =
        INT_LIT      31
      SEMICOLON      ;
         RBRACE      }
     IDENTIFIER      intVar
         ASSIGN      =
        INT_LIT      100
      SEMICOLON      ;
        KEYWORD      if
         LPAREN      (
     IDENTIFIER      c
 GREATEROREQUAL      >=
     IDENTIFIER      d
     LOGICALAND      &&
     IDENTIFIER      d
    LESSOREQUAL      <=
     IDENTIFIER      x
         RPAREN      )
         LBRACE      {
     IDENTIFIER      intVar
 MULTIPLYASSIGN      *=
        INT_LIT      10
      SEMICOLON      ;
         RBRACE      }
        KEYWORD      else
         LBRACE      {
     IDENTIFIER      intVar
    POWERASSIGN      ^=
        INT_LIT      9
      SEMICOLON      ;
         RBRACE      }
        KEYWORD      def
     IDENTIFIER      Func
         LPAREN      (
         RPAREN      )
         LBRACE      {
        KEYWORD      whenever
     IDENTIFIER      x
    LESSOREQUAL      <=
        INT_LIT      55
         LBRACE      {
     IDENTIFIER      f
         ASSIGN      =
        KEYWORD      read
         LPAREN      (
        STR_LIT      'Input a string'
         RPAREN      )
      SEMICOLON      ;
         RBRACE      }
        KEYWORD      otherwise
         LBRACE      {
        KEYWORD      pass
         RBRACE      }
         RBRACE      }
       TYPE_EOF      End of file
